SKU,Title,Product Type,Description,Price,Quantity,Media Link,Media Type,Media Links
DIARFHW26011,,Rings,"LB 500
NW 2.620
SIZE 13",500,1,https://gembox.app/s/5YIUGGnZCh,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774101027914-8318f9f5f098701c3cfa-1bfcc641ada84797f8de9fd0e54b1084mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774101039667-ecf405ee46a8faed5b90-019d10a8e0a475579cfa2bef97c2b3c8original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774101039672-b32b3e7bab2c97aeb025-019d10a8e0b375579cfa458652cafcc0original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774101027914-8318f9f5f098701c3cfa-1bfcc641ada84797f8de9fd0e54b1084mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774101039667-ecf405ee46a8faed5b90-019d10a8e0a475579cfa2bef97c2b3c8original.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774101039672-b32b3e7bab2c97aeb025-019d10a8e0b375579cfa458652cafcc0original.png?tr=f-jpg
DIARFHW26010,,Rings,"LB 500
NW 2.670
SIZE 15",500,1,https://gembox.app/s/hDvzZonAfQ,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774100898320-e5ec984a1f25972aafb6-07704de69c561b2f3a34e8e8a5db5a30mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774100952568-84831edae59639672440-019d10a6e10675579cfa05909f31f711original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774100952571-c10277998f1ee1e2e2ba-019d10a6e11275579cfa1f3b7e7fc37eoriginal.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774100898320-e5ec984a1f25972aafb6-07704de69c561b2f3a34e8e8a5db5a30mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100952568-84831edae59639672440-019d10a6e10675579cfa05909f31f711original.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100952571-c10277998f1ee1e2e2ba-019d10a6e11275579cfa1f3b7e7fc37eoriginal.png?tr=f-jpg
DIARFHW26009,,Rings,"LB 500
NW 2.690
SIZE 14",500,1,https://gembox.app/s/lVEtCAAMf1,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774100832762-694da12ce1593a921c28-eba4c1b1d91b07966ec44bf0a86a31bemp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774100845971-2f6045f0b20bb136362d-019d10a5a7e975579cf9dc218539c8d3original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774100845974-0f7a043afe3fafca1690-019d10a5a7f375579cf9f44721162753original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774100832762-694da12ce1593a921c28-eba4c1b1d91b07966ec44bf0a86a31bemp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100845971-2f6045f0b20bb136362d-019d10a5a7e975579cf9dc218539c8d3original.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100845974-0f7a043afe3fafca1690-019d10a5a7f375579cf9f44721162753original.png?tr=f-jpg
DIARFHW26008,,Rings,"LB 500
NW 2.630
SIZE 11",500,1,https://gembox.app/s/NnCuzNx2AP,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774100728313-7c0e1394e2f8d2ef5b2c-674758c2605c1994f215552e69ad8c77mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774100740595-f05a59be5e6f87a716f0-019d10a317db75579cf98d73707baa3doriginal.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774100740598-d88850a8ebaeed7882d5-019d10a317f075579cf9a5d56f02a790original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774100728313-7c0e1394e2f8d2ef5b2c-674758c2605c1994f215552e69ad8c77mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100740595-f05a59be5e6f87a716f0-019d10a317db75579cf98d73707baa3doriginal.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100740598-d88850a8ebaeed7882d5-019d10a317f075579cf9a5d56f02a790original.png?tr=f-jpg
DIARCTW26019,,Rings,"LB 500
NW 7.190
SIZE 12",500,1,https://gembox.app/s/T6N87IMxH1,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774100529383-03e2cdce3fa6ef3bbed3-50d04af7a15aa9c3446449f797520644mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774100692251-83a384ae1abf0d37cd13-019d10a15dfc75579cf961d2d143746doriginal.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774100692256-b3a1fd6f076dfb291e99-019d10a15e1375579cf97dd54f1649daoriginal.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774100529383-03e2cdce3fa6ef3bbed3-50d04af7a15aa9c3446449f797520644mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100692251-83a384ae1abf0d37cd13-019d10a15dfc75579cf961d2d143746doriginal.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100692256-b3a1fd6f076dfb291e99-019d10a15e1375579cf97dd54f1649daoriginal.png?tr=f-jpg
DIARCTR26019,,Rings,"LB 500
NW  7.280
SIZE 12",500,1,https://gembox.app/s/l7YvNUC5cD,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774100438999-d48deabf41e651fbcf37-244ccfd573f2b64d23c9fbf6f4fcfeb6mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774100475421-66e62fd7e83e64b54931-019d10a0314075579cf93b30063141b7original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774100475423-91d1f5a76a234203c974-019d10a0315875579cf956c8dba99d9eoriginal.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774100438999-d48deabf41e651fbcf37-244ccfd573f2b64d23c9fbf6f4fcfeb6mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100475421-66e62fd7e83e64b54931-019d10a0314075579cf93b30063141b7original.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100475423-91d1f5a76a234203c974-019d10a0315875579cf956c8dba99d9eoriginal.png?tr=f-jpg
DIARFHW26018,,Rings,"LB 500
NW 9.390
SIZE 17",500,1,https://gembox.app/s/PIJfig1BYi,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774100364183-34b7f2563d0e431b1573-65786539c68523bc2e24ed317da34e9fmp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774100395839-d387363b71103cc70b6e-019d109f0b0975579cf916d9ef5add67original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774100364183-34b7f2563d0e431b1573-65786539c68523bc2e24ed317da34e9fmp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100395839-d387363b71103cc70b6e-019d109f0b0975579cf916d9ef5add67original.png?tr=f-jpg
DIARFHR26017,,Rings,"LB 500
NW 1.640
SIZE 12",500,1,https://gembox.app/s/BCcKgOjYDi,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774100295238-6d586dc9b12d6017660d-179ddc46a6c5794c16a56f608e6a6964mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774100320698-233da9627b088acfc097-019d109dfbd675579cf8e8e9fb866b35original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774100320700-40ccdfd4494405ffc4eb-019d109dfbe175579cf903393d5f8c67original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774100295238-6d586dc9b12d6017660d-179ddc46a6c5794c16a56f608e6a6964mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100320698-233da9627b088acfc097-019d109dfbd675579cf8e8e9fb866b35original.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100320700-40ccdfd4494405ffc4eb-019d109dfbe175579cf903393d5f8c67original.png?tr=f-jpg
DIARFHW26017,,Rings,"LB 500
NW 1.810
SIZE 17",500,1,https://gembox.app/s/7sBhzSTNdy,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774100206522-adcf27608a36d75627bb-4d4353264d3128d63f9755f427ab79d8mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774100253363-fd92a09d12791b619685-019d109ca2c875579cf8c1dc65cacc88original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774100253365-b6ac7ace51d06a4bfe97-019d109ca2da75579cf8defc9890b5b0original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774100206522-adcf27608a36d75627bb-4d4353264d3128d63f9755f427ab79d8mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100253363-fd92a09d12791b619685-019d109ca2c875579cf8c1dc65cacc88original.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100253365-b6ac7ace51d06a4bfe97-019d109ca2da75579cf8defc9890b5b0original.png?tr=f-jpg
DIARFHR26016,,Rings,"LB 500
NW 2.550
SIZE 14",500,1,https://gembox.app/s/cuQl946yC2,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774100127752-53db8f82f2feee6a28ae-d64c83609647a9c69041b2906df38493mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774100158454-30db7fd63e81a5af51bd-019d109b71d675579cf89b5bd9c20e32original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774100158457-25773bfdc6faf4946a9b-019d109b71f475579cf8b19f8cec9649original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774100127752-53db8f82f2feee6a28ae-d64c83609647a9c69041b2906df38493mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100158454-30db7fd63e81a5af51bd-019d109b71d675579cf89b5bd9c20e32original.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100158457-25773bfdc6faf4946a9b-019d109b71f475579cf8b19f8cec9649original.png?tr=f-jpg
DIARBNR26015,,Rings,"LB 500
NW 1.170
SIZE 9",500,1,https://gembox.app/s/Yd81Gv9YfU,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774100036517-436bb3ec52a0abea5a0f-51488f56471744b45683f2f44f17eca4mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774100070059-68002ee21bda96a18059-019d109a132d75579cf8728b40ff4092original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774100036517-436bb3ec52a0abea5a0f-51488f56471744b45683f2f44f17eca4mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774100070059-68002ee21bda96a18059-019d109a132d75579cf8728b40ff4092original.png?tr=f-jpg
DIARBNR26014,,Rings,"LB 500
NW 2.670
SIZE 12",500,1,https://gembox.app/s/NuzRvANghC,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774099950456-97c6e4927da8fdaf77d3-83735d0042e5626234f94175ef86b455mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774099985557-6399b19a8266fb3a6d39-019d1098b9b775579cf84dcf2608e737original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774099950456-97c6e4927da8fdaf77d3-83735d0042e5626234f94175ef86b455mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774099985557-6399b19a8266fb3a6d39-019d1098b9b775579cf84dcf2608e737original.png?tr=f-jpg
DIARBNR26012,,Rings,"LB 500
NW 5.410
SIZE 16",500,1,https://gembox.app/s/Qsu25CB185,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774099864524-56002c22cf99cef9cbbb-22dd2a2003f55524d5a241cb07c06314mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774099906290-efa2b524ae89a7646380-019d10976bdb75579cf823ff00eea57foriginal.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774099864524-56002c22cf99cef9cbbb-22dd2a2003f55524d5a241cb07c06314mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774099906290-efa2b524ae89a7646380-019d10976bdb75579cf823ff00eea57foriginal.png?tr=f-jpg
DIARBNW26013,,Rings,"LB 500
NW 2.330
SIZE 13",500,2,https://gembox.app/s/UMeIeB3wa3,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774099596689-66eeec78d9a1a356c796-b79a714bbb3755c8c103e4d8546a2d79mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774099643678-b6d1b2a73430ab2de31c-019d10935f28722cab8bc9a15b11adf6original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774099643680-33320bc9e54648a86c69-019d10935f3e722cab8be6f84ec57455original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774099596689-66eeec78d9a1a356c796-b79a714bbb3755c8c103e4d8546a2d79mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774099643678-b6d1b2a73430ab2de31c-019d10935f28722cab8bc9a15b11adf6original.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774099643680-33320bc9e54648a86c69-019d10935f3e722cab8be6f84ec57455original.png?tr=f-jpg
DIARBNW26014,,Rings,"LB 500
NW 2.940
SIZE 14",500,1,https://gembox.app/s/IwkuzQ9Wj7,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774099536478-16ec3a6ef851077c82b9-fc9b9f476df7e20823b1894d74c8721cmp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774099552748-92fb55769b171f9f1e11-019d1091f9c4722cab8ba76ead3054eeoriginal.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774099552751-61b54895359ddc825655-019d1091f9d8722cab8bbf7891622d84original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774099536478-16ec3a6ef851077c82b9-fc9b9f476df7e20823b1894d74c8721cmp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774099552748-92fb55769b171f9f1e11-019d1091f9c4722cab8ba76ead3054eeoriginal.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774099552751-61b54895359ddc825655-019d1091f9d8722cab8bbf7891622d84original.png?tr=f-jpg
DIARFHR26027,,Rings,"LB 500
NW 3.010
SIZE 14",500,1,https://gembox.app/s/oTztlrSfgs,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774099334434-539b7b712cd6d3afc3a1-80c6abb00c4b5c68e2626515db3b26bemp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774099362158-1fcfeba54a9c02220efe-019d108f1282722cab8b5601aff37037original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774099362164-3b41f46c73409d4696ba-019d108f1294722cab8b69818a081df0original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774099334434-539b7b712cd6d3afc3a1-80c6abb00c4b5c68e2626515db3b26bemp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774099362158-1fcfeba54a9c02220efe-019d108f1282722cab8b5601aff37037original.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774099362164-3b41f46c73409d4696ba-019d108f1294722cab8b69818a081df0original.png?tr=f-jpg
DIARBNR26028,,Rings,"LB 500
NW 1.860
SIZE 11",500,1,https://gembox.app/s/wAehj8JMj1,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774099205952-4a56fd18f7872dcab720-72b7a54ad96357cf128d26152f6a7264mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774099226532-77905a91f46b18abbb26-019d108d1c4e722cab8b2fd4738f367doriginal.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774099226536-53d84407d9b8f087b361-019d108d1c5b722cab8b4464ed058b14original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774099205952-4a56fd18f7872dcab720-72b7a54ad96357cf128d26152f6a7264mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774099226532-77905a91f46b18abbb26-019d108d1c4e722cab8b2fd4738f367doriginal.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774099226536-53d84407d9b8f087b361-019d108d1c5b722cab8b4464ed058b14original.png?tr=f-jpg
DIARFHW26020,,Rings,"LB 500
NW 2.050
SIZE 14",500,1,https://gembox.app/s/sDtQP7DT48,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774099020978-755979e6a683ee166ce9-71b08c80023e09c00d63573f22dadd10mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774099056160-3b3640e10c00b8890901-019d108a551d722cab8b04a2124af674original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774099056162-bc48bda9da9206486d0c-019d108a5524722cab8b19f3cb8d40f0original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774099020978-755979e6a683ee166ce9-71b08c80023e09c00d63573f22dadd10mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774099056160-3b3640e10c00b8890901-019d108a551d722cab8b04a2124af674original.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774099056162-bc48bda9da9206486d0c-019d108a5524722cab8b19f3cb8d40f0original.png?tr=f-jpg
DIARFHW26021,,Rings,"LB 500
NW 2.050
SIZE 14",500,1,https://gembox.app/s/5D6C3ByPcG,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774098843330-28cb8f5071a8a765b324-4f994f86c84c79d47e657e700e05470dmp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774098864632-de2d419279f1e29d9e25-019d10878550722cab8ab48c112487e5original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774098864642-bda21e90a4b3e272ef03-019d10878554722cab8acb1d85bcd0d8original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774098843330-28cb8f5071a8a765b324-4f994f86c84c79d47e657e700e05470dmp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774098864632-de2d419279f1e29d9e25-019d10878550722cab8ab48c112487e5original.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774098864642-bda21e90a4b3e272ef03-019d10878554722cab8acb1d85bcd0d8original.png?tr=f-jpg
DIARFHW26022,,Rings,"LB 500
NW 2.060
SIZE 15",500,1,https://gembox.app/s/67apq8nIdW,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774098727918-5b3b9c79cc07bd2eb29e-bea4e351a0b0cd5f72732a440521a2dbmp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774098761776-cd446b9d0fb9cb2be100-019d1085cd4d722cab8a8f2c15a0062foriginal.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774098761777-a246a36d2ab4dc7caca6-019d1085cd58722cab8aa49c8e44ce9coriginal.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774098727918-5b3b9c79cc07bd2eb29e-bea4e351a0b0cd5f72732a440521a2dbmp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774098761776-cd446b9d0fb9cb2be100-019d1085cd4d722cab8a8f2c15a0062foriginal.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774098761777-a246a36d2ab4dc7caca6-019d1085cd58722cab8aa49c8e44ce9coriginal.png?tr=f-jpg
DIARFHW26023,,Rings,"LB 500
NW 2.040
SIZE 16",500,1,https://gembox.app/s/JRfbgsmkza,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774098571441-ba6bd18a0c489bccc848-fcbcd46d3529e6fde7b852cd915aaaf3mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774098625789-39bf62cb2d92751d1123-019d10836951722cab8a668e9fcb0fa3original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774098625792-2c909d3c12c0a5b02b19-019d1083695a722cab8a7aa5a4a7a2feoriginal.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774098571441-ba6bd18a0c489bccc848-fcbcd46d3529e6fde7b852cd915aaaf3mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774098625789-39bf62cb2d92751d1123-019d10836951722cab8a668e9fcb0fa3original.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774098625792-2c909d3c12c0a5b02b19-019d1083695a722cab8a7aa5a4a7a2feoriginal.png?tr=f-jpg
DIARFHR26024,,Rings,"LB 500
NW 1.130
SIZE 12",500,1,https://gembox.app/s/emEa6v9vj5,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774096865265-91048f2525c125af5acf-41222d85b853e8f0a38177ba633a108bmp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774096961721-b45cef1b7adbec964800-019d10694a497554a1add65b68c326b0original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774096961727-43e2214c46487f6b99fc-019d10694a4d7554a1adddb3ffb86c00original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774096961884-e9e26b0a18d5c8451435-019d10694a4e7554a1ade5973da19ef0original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774096961886-eb71afef32961fb4ae3c-019d10694a507554a1adea6604545412original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774096865265-91048f2525c125af5acf-41222d85b853e8f0a38177ba633a108bmp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774096961721-b45cef1b7adbec964800-019d10694a497554a1add65b68c326b0original.png?tr=f-jpg
